x,theta
0.245237,-0.957575
0.245725,-0.957645
0.246214,-0.957715
0.246702,-0.957785
0.247191,-0.957854
0.247680,-0.957924
0.248168,-0.957994
0.248657,-0.958064
0.249145,-0.958133
0.249634,-0.958203
0.250122,-0.958273
0.250611,-0.958342
0.251099,-0.958412
0.251588,-0.958482
0.252076,-0.958552
0.252565,-0.958621
0.253053,-0.958691
0.253542,-0.958761
0.254030,-0.958831
0.254519,-0.958900
0.255007,-0.958970
0.255496,-0.959040
0.255984,-0.959110
0.256473,-0.959179
0.256961,-0.959249
0.257450,-0.959319
0.257938,-0.959389
0.258427,-0.959458
0.258915,-0.959528
0.259404,-0.959598
0.259893,-0.959668
0.260381,-0.959737
0.260870,-0.959807
0.261358,-0.959877
0.261847,-0.959946
0.262335,-0.960016
0.262824,-0.960086
0.263312,-0.960156
0.263801,-0.960225
0.264289,-0.960295
0.264778,-0.960365
0.265266,-0.960435
0.265755,-0.960504
0.266243,-0.960574
0.266732,-0.960653
0.267220,-0.960791
0.267709,-0.960929
0.268197,-0.961066
0.268686,-0.961204
0.269174,-0.961342
0.269663,-0.961480
0.270151,-0.961618
0.270640,-0.961756
0.271128,-0.961893
0.271617,-0.962031
0.272106,-0.962169
0.272594,-0.962307
0.273083,-0.962445
0.273571,-0.962582
0.274060,-0.962720
0.274548,-0.962858
0.275037,-0.962996
0.275525,-0.963134
0.276014,-0.963272
0.276502,-0.963409
0.276991,-0.963547
0.277479,-0.963685
0.277968,-0.963823
0.278456,-0.963961
0.278945,-0.964099
0.279433,-0.964236
0.279922,-0.964374
0.280410,-0.964512
0.280899,-0.964650
0.281387,-0.964788
0.281876,-0.964926
0.282364,-0.965063
0.282853,-0.965201
0.283341,-0.965339
0.283830,-0.965477
0.284319,-0.965615
0.284807,-0.965752
0.285296,-0.965890
0.285784,-0.966028
0.286273,-0.966166
0.286761,-0.966304
0.287250,-0.966442
0.287738,-0.966579
0.288227,-0.966717
0.288715,-0.966855
0.289204,-0.966993
0.289692,-0.967131
0.290181,-0.967269
0.290669,-0.967406
0.291158,-0.967544
0.291646,-0.967682
0.292135,-0.967820
0.292623,-0.967958
0.293112,-0.968095
0.293600,-0.968233
0.294089,-0.968371
0.294577,-0.968509
0.295066,-0.968647
0.295554,-0.968785
0.296043,-0.968922
0.296532,-0.969060
0.297020,-0.969198
0.297509,-0.969336
0.297997,-0.969474
0.298486,-0.969612
0.298974,-0.969749
0.299463,-0.969887
0.299951,-0.970025
0.300440,-0.970831
0.300928,-0.971035
0.301417,-0.971239
0.301905,-0.971443
0.302394,-0.971647
0.302882,-0.971851
0.303371,-0.972055
0.303859,-0.972260
0.304348,-0.972464
0.304836,-0.972668
0.305325,-0.972872
0.305813,-0.973076
0.306302,-0.973280
0.306790,-0.973484
0.307279,-0.973688
0.307767,-0.973893
0.308256,-0.974097
0.308745,-0.974301
0.309233,-0.974505
0.309722,-0.974709
0.310210,-0.974913
0.310699,-0.975117
0.311187,-0.975322
0.311676,-0.975526
0.312164,-0.975730
0.312653,-0.975934
0.313141,-0.976138
