x,theta
0.388373,0.958315
0.388862,0.955061
0.389350,0.951808
0.389839,0.947058
0.390327,0.940943
0.390816,0.934828
0.391304,0.928713
0.391793,0.921534
0.392281,0.911298
0.392770,0.901061
0.393258,0.890825
0.393747,0.880588
0.394235,0.864350
0.394724,0.848073
0.395213,0.831797
0.395701,0.815520
0.396190,0.793070
0.396678,0.768327
0.397167,0.743584
0.397655,0.718841
0.398144,0.689101
0.398632,0.653603
0.399121,0.618104
0.399609,0.582605
0.400098,0.544798
0.400586,0.497758
0.401075,0.450718
0.401563,0.403678
0.402052,0.356638
0.402540,0.301010
0.403029,0.244788
0.403517,0.188567
0.404006,0.132346
0.404494,0.073930
0.404983,0.014439
0.405471,-0.045053
0.405960,-0.104545
0.406448,-0.162368
0.406937,-0.217753
0.407426,-0.273138
0.407914,-0.328523
0.408403,-0.382543
0.408891,-0.428297
0.409380,-0.474051
0.409868,-0.519805
0.410357,-0.565559
0.410845,-0.601190
0.411334,-0.635402
0.411822,-0.669614
0.412311,-0.703826
0.412799,-0.731606
0.413288,-0.755316
0.413776,-0.779027
0.414265,-0.802737
0.414753,-0.823611
0.415242,-0.839169
0.415730,-0.854726
0.416219,-0.870284
0.416707,-0.885363
0.417196,-0.895178
0.417684,-0.904994
0.418173,-0.914810
0.418661,-0.924625
0.419150,-0.931329
0.419638,-0.937343
0.420127,-0.943358
0.420616,-0.949372
0.421104,-0.954024
0.421593,-0.957579
0.422081,-0.961134
0.422570,-0.964689
0.423058,-0.967802
0.423547,-0.969831
0.424035,-0.971860
0.424524,-0.973889
0.425012,-0.975811
0.425501,-0.976637
0.425989,-0.977463
0.426478,-0.978290
0.426966,-0.979116
0.427455,-0.979942
0.427943,-0.980768
0.428432,-0.981594
0.428920,-0.982420
0.429409,-0.982882
0.429897,-0.982974
0.430386,-0.983066
0.430874,-0.983158
0.431363,-0.983250
0.431851,-0.983342
0.432340,-0.983434
0.432829,-0.983526
0.433317,-0.983618
0.433806,-0.982928
0.434294,-0.982750
0.434783,-0.982573
0.435271,-0.982395
0.435760,-0.982217
0.436248,-0.982039
0.436737,-0.981861
0.437225,-0.981683
0.437714,-0.981506
0.438202,-0.981328
0.438691,-0.981150
0.439179,-0.980972
0.439668,-0.980794
0.440156,-0.980616
0.440645,-0.980439
0.441133,-0.980261
0.441622,-0.980083
0.442110,-0.979857
0.442599,-0.979627
0.443087,-0.979396
0.443576,-0.979166
0.444064,-0.978935
0.444553,-0.978705
0.445042,-0.978474
0.445530,-0.978244
0.446019,-0.978013
0.446507,-0.977783
0.446996,-0.977553
0.447484,-0.977322
0.447973,-0.977092
0.448461,-0.976861
0.448950,-0.976631
0.449438,-0.976400
0.449927,-0.976170
0.450415,-0.975736
0.450904,-0.975556
0.451392,-0.975376
0.451881,-0.975196
0.452369,-0.975016
0.452858,-0.974836
0.453346,-0.974656
0.453835,-0.974476
0.454323,-0.974296
0.454812,-0.974116
0.455300,-0.973936
0.455789,-0.973756
0.456277,-0.973576
0.456766,-0.973396
0.457255,-0.973216
0.457743,-0.973035
0.458232,-0.972855
0.458720,-0.972675
0.459209,-0.972495
0.459697,-0.972315
0.460186,-0.972135
0.460674,-0.971955
0.461163,-0.971775
0.461651,-0.971595
0.462140,-0.971415
0.462628,-0.971235
0.463117,-0.971055
0.463605,-0.970875
0.464094,-0.970695
0.464582,-0.970515
0.465071,-0.970335
0.465559,-0.970155
0.466048,-0.969975
0.466536,-0.969795
0.467025,-0.969668
0.467513,-0.969560
0.468002,-0.969453
0.468490,-0.969345
0.468979,-0.969238
0.469468,-0.969130
0.469956,-0.969023
0.470445,-0.968915
0.470933,-0.968808
0.471422,-0.968700
0.471910,-0.968593
0.472399,-0.968485
0.472887,-0.968378
0.473376,-0.968270
0.473864,-0.968163
0.474353,-0.968055
0.474841,-0.967948
0.475330,-0.967840
0.475818,-0.967733
0.476307,-0.967625
0.476795,-0.967518
0.477284,-0.967410
0.477772,-0.967303
0.478261,-0.967195
0.478749,-0.967088
0.479238,-0.966980
0.479726,-0.966873
0.480215,-0.966765
0.480703,-0.966658
0.481192,-0.966550
0.481681,-0.966443
0.482169,-0.966335
0.482658,-0.966228
0.483146,-0.966120
0.483635,-0.966056
0.484123,-0.966018
0.484612,-0.965980
0.485100,-0.965942
0.485589,-0.965904
0.486077,-0.965866
0.486566,-0.965828
0.487054,-0.965790
0.487543,-0.965752
0.488031,-0.965714
0.488520,-0.965676
0.489008,-0.965638
0.489497,-0.965600
0.489985,-0.965562
0.490474,-0.965524
0.490962,-0.965486
0.491451,-0.965448
0.491939,-0.965410
0.492428,-0.965372
0.492916,-0.965334
0.493405,-0.965296
0.493894,-0.965258
0.494382,-0.965220
0.494871,-0.965182
0.495359,-0.965144
0.495848,-0.965106
0.496336,-0.965068
0.496825,-0.965030
0.497313,-0.964993
0.497802,-0.964954
0.498290,-0.964917
0.498779,-0.964879
0.499267,-0.964841
0.499756,-0.964803
0.500244,-0.964797
0.500733,-0.964824
0.501221,-0.964851
0.501710,-0.964878
0.502198,-0.964905
0.502687,-0.964932
0.503175,-0.964959
0.503664,-0.964986
0.504152,-0.965013
0.504641,-0.965040
0.505129,-0.965067
0.505618,-0.965094
0.506106,-0.965120
0.506595,-0.965147
0.507084,-0.965174
0.507572,-0.965201
0.508061,-0.965228
0.508549,-0.965255
0.509038,-0.965282
0.509526,-0.965309
0.510015,-0.965336
0.510503,-0.965363
0.510992,-0.965390
0.511480,-0.965417
0.511969,-0.965444
0.512457,-0.965471
0.512946,-0.965498
0.513434,-0.965525
0.513923,-0.965552
0.514411,-0.965579
0.514900,-0.965606
0.515388,-0.965633
0.515877,-0.965659
0.516365,-0.965686
0.516854,-0.965739
0.517342,-0.965831
0.517831,-0.965924
0.518319,-0.966017
0.518808,-0.966110
0.519297,-0.966202
0.519785,-0.966295
0.520274,-0.966388
0.520762,-0.966480
0.521251,-0.966573
0.521739,-0.966666
0.522228,-0.966759
0.522716,-0.966851
0.523205,-0.966944
0.523693,-0.967037
0.524182,-0.967130
0.524670,-0.967222
0.525159,-0.967315
0.525647,-0.967408
0.526136,-0.967501
0.526624,-0.967593
0.527113,-0.967686
0.527601,-0.967779
0.528090,-0.967872
0.528578,-0.967964
0.529067,-0.968057
0.529555,-0.968150
0.530044,-0.968243
0.530532,-0.968335
0.531021,-0.968428
0.531510,-0.968521
0.531998,-0.968613
0.532487,-0.968706
0.532975,-0.968799
0.533464,-0.968912
0.533952,-0.969082
0.534441,-0.969252
0.534929,-0.969422
0.535418,-0.969592
0.535906,-0.969762
0.536395,-0.969932
0.536883,-0.970102
0.537372,-0.970272
0.537860,-0.970442
0.538349,-0.970611
0.538837,-0.970781
0.539326,-0.970951
0.539814,-0.971121
0.540303,-0.971291
0.540791,-0.971461
0.541280,-0.971631
0.541768,-0.971801
0.542257,-0.971971
0.542745,-0.972141
0.543234,-0.972311
0.543723,-0.972481
0.544211,-0.972651
0.544700,-0.972820
0.545188,-0.972990
0.545677,-0.973160
0.546165,-0.973330
0.546654,-0.973500
0.547142,-0.973670
0.547631,-0.973840
0.548119,-0.974010
0.548608,-0.974180
0.549096,-0.974350
0.549585,-0.974520
0.550073,-0.974911
0.550562,-0.975141
0.551050,-0.975371
0.551539,-0.975601
0.552027,-0.975831
0.552516,-0.976060
0.553004,-0.976290
0.553493,-0.976520
0.553981,-0.976750
0.554470,-0.976980
0.554958,-0.977210
0.555447,-0.977440
0.555936,-0.977670
0.556424,-0.977900
0.556913,-0.978130
0.557401,-0.978360
0.557890,-0.978589
0.558378,-0.978816
0.558867,-0.979013
0.559355,-0.979209
0.559844,-0.979406
0.560332,-0.979603
0.560821,-0.979799
0.561309,-0.979996
0.561798,-0.980192
0.562286,-0.980389
0.562775,-0.980586
0.563263,-0.980782
0.563752,-0.980979
0.564240,-0.981175
0.564729,-0.981372
0.565217,-0.981568
0.565706,-0.981765
0.566194,-0.981962
0.566683,-0.982553
