step,time,mass,ch_energy,kinetic_energy,total_energy,divergence_L2,c_min,c_max,u_max,cfl_number,amplitude,y_min,y_max,n_spikes,mu_min,mu_max,p_min,p_max,c_norm,mu_norm,ux_norm,uy_norm,p_norm,F_cap_max,F_mag_max,F_grav_max
200,1.000000000000e-01,-2.003999927482e-01,2.361952531515e+00,6.711352109799e-06,2.361959242867e+00,3.971414846761e-02,-1.000549856718e+00,1.001703219757e+00,3.552367810594e-02,3.899046741905e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
210,1.050000000000e-01,-2.003999927482e-01,2.361977080849e+00,6.802305720619e-06,2.361983883155e+00,4.459242222982e-02,-1.000525338559e+00,1.001601011051e+00,3.775392376680e-02,4.143836486134e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
220,1.100000000000e-01,-2.003999927482e-01,2.362003706304e+00,8.219549703003e-06,2.362011925853e+00,4.969071224788e-02,-1.000502935423e+00,1.001506560274e+00,4.017647134723e-02,4.409733114924e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
230,1.150000000000e-01,-2.003999927482e-01,2.362033830658e+00,1.085796841568e-05,2.362044688626e+00,5.497324989065e-02,-1.000483192133e+00,1.001420303242e+00,4.218754371088e-02,4.630466596514e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
240,1.200000000000e-01,-2.003999927482e-01,2.362068096115e+00,1.401531019426e-05,2.362082111425e+00,6.042335337599e-02,-1.000466480131e+00,1.001345342359e+00,4.347676824476e-02,4.771970713949e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
250,1.250000000000e-01,-2.003999927482e-01,2.362105865656e+00,1.689329034580e-05,2.362122758946e+00,6.610750858903e-02,-1.000452640333e+00,1.001278206600e+00,5.014369049867e-02,5.503726063581e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
260,1.300000000000e-01,-2.003999927482e-01,2.362145316173e+00,1.898356533586e-05,2.362164299738e+00,7.215369705897e-02,-1.000441911298e+00,1.001219483643e+00,5.531311617842e-02,6.071117545230e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
270,1.350000000000e-01,-2.003999927482e-01,2.362184452006e+00,2.034344279213e-05,2.362204795448e+00,7.858896579991e-02,-1.000434412936e+00,1.001169650056e+00,5.946439062329e-02,6.526757669284e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
280,1.400000000000e-01,-2.003999927482e-01,2.362222027017e+00,2.135735844445e-05,2.362243384376e+00,8.532606481691e-02,-1.000430033177e+00,1.001128548488e+00,6.360027577640e-02,6.980708678608e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
290,1.450000000000e-01,-2.003999927482e-01,2.362257341865e+00,2.221204972469e-05,2.362279553915e+00,9.226146683374e-02,-1.000428375447e+00,1.001095211748e+00,6.716999313583e-02,7.372517623569e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
