step,time,E_CH,E_kin,E_mag,E_internal,E_total,dE_internal_dt,dE_total_dt
73,3.700000e-02,9.431626e-01,2.337537e-05,2.238533e+00,9.431860e-01,3.181719e+00,8.365166e-03,1.217763e+02
74,3.750000e-02,9.431668e-01,2.335442e-05,2.300256e+00,9.431901e-01,3.243446e+00,8.195260e-03,1.234549e+02
75,3.800000e-02,9.431709e-01,2.336335e-05,2.362819e+00,9.431943e-01,3.306013e+00,8.293473e-03,1.251338e+02
76,3.850000e-02,9.431750e-01,2.334455e-05,2.426221e+00,9.431984e-01,3.369419e+00,8.218922e-03,1.268124e+02
77,3.900000e-02,9.431792e-01,2.336315e-05,2.490463e+00,9.432025e-01,3.433665e+00,8.318243e-03,1.284913e+02
78,3.950000e-02,9.431833e-01,2.333613e-05,2.555543e+00,9.432066e-01,3.498750e+00,8.192938e-03,1.301699e+02
79,4.000000e-02,9.431874e-01,2.336508e-05,2.621464e+00,9.432108e-01,3.564674e+00,8.349042e-03,1.318489e+02
80,4.050000e-02,9.431916e-01,2.333759e-05,2.688223e+00,9.432149e-01,3.631438e+00,8.172991e-03,1.335274e+02
81,4.100000e-02,9.431957e-01,2.334389e-05,2.755822e+00,9.432190e-01,3.699041e+00,8.270022e-03,1.352063e+02
82,4.150000e-02,9.431998e-01,2.331920e-05,2.824261e+00,9.432231e-01,3.767484e+00,8.185701e-03,1.368849e+02
83,4.200000e-02,9.432039e-01,2.336204e-05,2.893538e+00,9.432273e-01,3.836766e+00,8.374785e-03,1.385639e+02
84,4.250000e-02,9.432081e-01,2.333572e-05,2.963655e+00,9.432314e-01,3.906887e+00,8.175888e-03,1.402423e+02
85,4.300000e-02,9.432122e-01,2.335636e-05,3.034612e+00,9.432356e-01,3.977847e+00,8.309024e-03,1.419212e+02
86,4.350000e-02,9.432163e-01,2.333090e-05,3.106408e+00,9.432396e-01,4.049647e+00,8.176907e-03,1.435998e+02
87,4.400000e-02,9.432204e-01,2.335603e-05,3.179043e+00,9.432438e-01,4.122287e+00,8.316250e-03,1.452787e+02
88,4.450000e-02,9.432245e-01,2.332543e-05,3.252517e+00,9.432479e-01,4.195765e+00,8.147784e-03,1.469572e+02
89,4.500000e-02,9.432287e-01,2.335106e-05,3.326831e+00,9.432520e-01,4.270083e+00,8.311990e-03,1.486362e+02
90,4.550000e-02,9.432328e-01,2.331838e-05,3.401985e+00,9.432561e-01,4.345241e+00,8.146894e-03,1.503146e+02
91,4.600000e-02,9.432369e-01,2.335249e-05,3.477977e+00,9.432603e-01,4.421237e+00,8.326588e-03,1.519936e+02
92,4.650000e-02,9.432410e-01,2.332765e-05,3.554809e+00,9.432643e-01,4.498073e+00,8.165018e-03,1.536720e+02
93,4.700000e-02,9.432451e-01,2.335961e-05,3.632480e+00,9.432685e-01,4.575749e+00,8.318981e-03,1.553510e+02
94,4.750000e-02,9.432493e-01,2.334145e-05,3.710991e+00,9.432726e-01,4.654264e+00,8.180362e-03,1.570294e+02
95,4.800000e-02,9.432534e-01,2.337805e-05,3.790341e+00,9.432768e-01,4.733618e+00,8.333909e-03,1.587083e+02
96,4.850000e-02,9.432575e-01,2.334209e-05,3.870530e+00,9.432808e-01,4.813811e+00,8.123299e-03,1.603867e+02
97,4.900000e-02,9.432616e-01,2.337363e-05,3.951559e+00,9.432850e-01,4.894844e+00,8.312094e-03,1.620658e+02
98,4.950000e-02,9.432657e-01,2.335152e-05,4.033427e+00,9.432891e-01,4.976716e+00,8.166634e-03,1.637441e+02
99,5.000000e-02,9.432698e-01,2.338790e-05,4.116134e+00,9.432932e-01,5.059428e+00,8.323931e-03,1.654231e+02
100,5.050000e-02,9.432739e-01,2.335356e-05,4.199681e+00,9.432973e-01,5.142978e+00,8.121300e-03,1.671014e+02
101,5.100000e-02,9.432781e-01,2.338476e-05,4.284067e+00,9.433014e-01,5.227369e+00,8.299814e-03,1.687805e+02
102,5.150000e-02,9.432821e-01,2.334856e-05,4.369293e+00,9.433055e-01,5.312598e+00,8.107320e-03,1.704588e+02
103,5.200000e-02,9.432863e-01,2.338599e-05,4.455357e+00,9.433096e-01,5.398667e+00,8.306534e-03,1.721379e+02
104,5.250000e-02,9.432903e-01,2.334638e-05,4.542261e+00,9.433137e-01,5.485575e+00,8.088602e-03,1.738161e+02
105,5.300000e-02,9.432945e-01,2.338892e-05,4.630005e+00,9.433178e-01,5.573323e+00,8.310288e-03,1.754952e+02
106,5.350000e-02,9.432985e-01,2.335252e-05,4.718587e+00,9.433219e-01,5.661909e+00,8.094307e-03,1.771734e+02
107,5.400000e-02,9.433026e-01,2.339289e-05,4.808010e+00,9.433260e-01,5.751336e+00,8.295919e-03,1.788525e+02
108,5.450000e-02,9.433067e-01,2.336892e-05,4.898271e+00,9.433301e-01,5.841601e+00,8.116106e-03,1.805307e+02
109,5.500000e-02,9.433108e-01,2.341336e-05,4.989372e+00,9.433343e-01,5.932706e+00,8.307309e-03,1.822098e+02
110,5.550000e-02,9.433149e-01,2.339241e-05,5.081312e+00,9.433383e-01,6.024650e+00,8.126303e-03,1.838880e+02
111,5.600000e-02,9.433190e-01,2.343014e-05,5.174091e+00,9.433425e-01,6.117433e+00,8.289244e-03,1.855671e+02
112,5.650000e-02,9.433231e-01,2.340255e-05,5.267710e+00,9.433465e-01,6.211056e+00,8.103789e-03,1.872453e+02
113,5.700000e-02,9.433272e-01,2.344560e-05,5.362168e+00,9.433507e-01,6.305518e+00,8.299731e-03,1.889244e+02
114,5.750000e-02,9.433313e-01,2.341631e-05,5.457465e+00,9.433547e-01,6.400820e+00,8.099420e-03,1.906025e+02
115,5.800000e-02,9.433354e-01,2.346014e-05,5.553602e+00,9.433589e-01,6.496960e+00,8.297672e-03,1.922817e+02
116,5.850000e-02,9.433395e-01,2.343108e-05,5.650577e+00,9.433629e-01,6.593940e+00,8.097720e-03,1.939598e+02
117,5.900000e-02,9.433436e-01,2.347385e-05,5.748393e+00,9.433671e-01,6.691760e+00,8.290028e-03,1.956390e+02
118,5.950000e-02,9.433477e-01,2.344114e-05,5.847047e+00,9.433711e-01,6.790418e+00,8.083450e-03,1.973170e+02
119,6.000000e-02,9.433517e-01,2.347458e-05,5.946541e+00,9.433752e-01,6.889916e+00,8.253656e-03,1.989962e+02
120,6.050000e-02,9.433558e-01,2.343718e-05,6.046874e+00,9.433793e-01,6.990253e+00,8.061667e-03,2.006743e+02
