step,time,message
197,9.900000e-02,"theta bounds violated: [-1.000005, 1.003586]"
198,9.950000e-02,"theta bounds violated: [-1.000006, 1.003590]"
199,1.000000e-01,"theta bounds violated: [-1.000006, 1.003593]"
200,1.005000e-01,"theta bounds violated: [-1.000006, 1.003597]"
201,1.010000e-01,"theta bounds violated: [-1.000006, 1.003600]"
202,1.015000e-01,"theta bounds violated: [-1.000006, 1.003604]"
203,1.020000e-01,"theta bounds violated: [-1.000006, 1.003608]"
204,1.025000e-01,"theta bounds violated: [-1.000006, 1.003611]"
205,1.030000e-01,"theta bounds violated: [-1.000006, 1.003615]"
206,1.035000e-01,"theta bounds violated: [-1.000006, 1.003618]"
207,1.040000e-01,"theta bounds violated: [-1.000006, 1.003622]"
208,1.045000e-01,"theta bounds violated: [-1.000007, 1.003625]"
209,1.050000e-01,"theta bounds violated: [-1.000007, 1.003629]"
210,1.055000e-01,"theta bounds violated: [-1.000007, 1.003632]"
211,1.060000e-01,"theta bounds violated: [-1.000007, 1.003636]"
212,1.065000e-01,"theta bounds violated: [-1.000007, 1.003639]"
213,1.070000e-01,"theta bounds violated: [-1.000007, 1.003643]"
214,1.075000e-01,"theta bounds violated: [-1.000007, 1.003646]"
215,1.080000e-01,"theta bounds violated: [-1.000007, 1.003650]"
216,1.085000e-01,"theta bounds violated: [-1.000008, 1.003653]"
217,1.090000e-01,"theta bounds violated: [-1.000008, 1.003656]"
218,1.095000e-01,"theta bounds violated: [-1.000008, 1.003660]"
219,1.100000e-01,"theta bounds violated: [-1.000008, 1.003663]"
220,1.105000e-01,"theta bounds violated: [-1.000008, 1.003667]"
221,1.110000e-01,"theta bounds violated: [-1.000008, 1.003670]"
222,1.115000e-01,"theta bounds violated: [-1.000008, 1.003673]"
223,1.120000e-01,"theta bounds violated: [-1.000008, 1.003677]"
224,1.125000e-01,"theta bounds violated: [-1.000009, 1.003680]"
225,1.130000e-01,"theta bounds violated: [-1.000009, 1.003683]"
226,1.135000e-01,"theta bounds violated: [-1.000009, 1.003687]"
227,1.140000e-01,"theta bounds violated: [-1.000009, 1.003690]"
228,1.145000e-01,"theta bounds violated: [-1.000009, 1.003693]"
229,1.150000e-01,"theta bounds violated: [-1.000009, 1.003696]"
230,1.155000e-01,"theta bounds violated: [-1.000009, 1.003700]"
231,1.160000e-01,"theta bounds violated: [-1.000010, 1.003703]"
232,1.165000e-01,"theta bounds violated: [-1.000010, 1.003706]"
233,1.170000e-01,"theta bounds violated: [-1.000010, 1.003709]"
234,1.175000e-01,"theta bounds violated: [-1.000010, 1.003713]"
235,1.180000e-01,"theta bounds violated: [-1.000010, 1.003716]"
236,1.185000e-01,"theta bounds violated: [-1.000010, 1.003719]"
237,1.190000e-01,"theta bounds violated: [-1.000011, 1.003722]"
238,1.195000e-01,"theta bounds violated: [-1.000011, 1.003725]"
239,1.200000e-01,"theta bounds violated: [-1.000011, 1.003728]"
240,1.205000e-01,"theta bounds violated: [-1.000011, 1.003732]"
241,1.210000e-01,"theta bounds violated: [-1.000011, 1.003735]"
242,1.215000e-01,"theta bounds violated: [-1.000011, 1.003738]"
243,1.220000e-01,"theta bounds violated: [-1.000011, 1.003741]"
244,1.225000e-01,"theta bounds violated: [-1.000012, 1.003744]"
245,1.230000e-01,"theta bounds violated: [-1.000012, 1.003747]"
246,1.235000e-01,"theta bounds violated: [-1.000012, 1.003750]"
247,1.240000e-01,"theta bounds violated: [-1.000012, 1.003753]"
248,1.245000e-01,"theta bounds violated: [-1.000012, 1.003756]"
249,1.250000e-01,"theta bounds violated: [-1.000013, 1.003760]"
250,1.255000e-01,"theta bounds violated: [-1.000013, 1.003763]"
251,1.260000e-01,"theta bounds violated: [-1.000013, 1.003766]"
252,1.265000e-01,"theta bounds violated: [-1.000013, 1.003769]"
253,1.270000e-01,"theta bounds violated: [-1.000013, 1.003772]"
254,1.275000e-01,"theta bounds violated: [-1.000013, 1.003775]"
255,1.280000e-01,"theta bounds violated: [-1.000014, 1.003778]"
256,1.285000e-01,"theta bounds violated: [-1.000014, 1.003781]"
257,1.290000e-01,"theta bounds violated: [-1.000014, 1.003784]"
