step,time,E_CH,E_kin,E_mag,E_internal,E_total,dE_internal_dt,dE_total_dt
63,3.200000e-02,9.428641e-01,2.614524e-08,1.660834e+00,9.428641e-01,2.603699e+00,9.179669e-06,1.045661e+02
64,3.250000e-02,9.428641e-01,2.625059e-08,1.713954e+00,9.428641e-01,2.656818e+00,9.201223e-06,1.062384e+02
65,3.300000e-02,9.428641e-01,2.636261e-08,1.767909e+00,9.428641e-01,2.710773e+00,9.222891e-06,1.079107e+02
66,3.350000e-02,9.428641e-01,2.648154e-08,1.822700e+00,9.428641e-01,2.765565e+00,9.245058e-06,1.095830e+02
67,3.400000e-02,9.428641e-01,2.660762e-08,1.878328e+00,9.428641e-01,2.821192e+00,9.267568e-06,1.112552e+02
68,3.450000e-02,9.428641e-01,2.674111e-08,1.934792e+00,9.428641e-01,2.877656e+00,9.290707e-06,1.129275e+02
69,3.500000e-02,9.428641e-01,2.688226e-08,1.992092e+00,9.428641e-01,2.934956e+00,9.314191e-06,1.145998e+02
70,3.550000e-02,9.428641e-01,2.703132e-08,2.050228e+00,9.428641e-01,2.993092e+00,9.338081e-06,1.162721e+02
71,3.600000e-02,9.428641e-01,2.718856e-08,2.109200e+00,9.428641e-01,3.052064e+00,9.362552e-06,1.179444e+02
72,3.650000e-02,9.428641e-01,2.735425e-08,2.169008e+00,9.428641e-01,3.111873e+00,9.387384e-06,1.196167e+02
73,3.700000e-02,9.428641e-01,2.752864e-08,2.229653e+00,9.428642e-01,3.172517e+00,9.412714e-06,1.212890e+02
74,3.750000e-02,9.428641e-01,2.771202e-08,2.291134e+00,9.428642e-01,3.233998e+00,9.438598e-06,1.229613e+02
75,3.800000e-02,9.428641e-01,2.790466e-08,2.353450e+00,9.428642e-01,3.296314e+00,9.464954e-06,1.246336e+02
76,3.850000e-02,9.428641e-01,2.810684e-08,2.416603e+00,9.428642e-01,3.359467e+00,9.491702e-06,1.263059e+02
77,3.900000e-02,9.428641e-01,2.831884e-08,2.480592e+00,9.428642e-01,3.423457e+00,9.519074e-06,1.279782e+02
78,3.950000e-02,9.428641e-01,2.854096e-08,2.545418e+00,9.428642e-01,3.488282e+00,9.546995e-06,1.296505e+02
79,4.000000e-02,9.428642e-01,2.877347e-08,2.611079e+00,9.428642e-01,3.553943e+00,9.575425e-06,1.313228e+02
80,4.050000e-02,9.428642e-01,2.901669e-08,2.677576e+00,9.428642e-01,3.620441e+00,9.604441e-06,1.329951e+02
81,4.100000e-02,9.428642e-01,2.927090e-08,2.744910e+00,9.428642e-01,3.687774e+00,9.634063e-06,1.346674e+02
82,4.150000e-02,9.428642e-01,2.953640e-08,2.813080e+00,9.428642e-01,3.755944e+00,9.664218e-06,1.363397e+02
83,4.200000e-02,9.428642e-01,2.981352e-08,2.882086e+00,9.428642e-01,3.824950e+00,9.694929e-06,1.380119e+02
84,4.250000e-02,9.428642e-01,3.010254e-08,2.951928e+00,9.428642e-01,3.894792e+00,9.726340e-06,1.396842e+02
85,4.300000e-02,9.428642e-01,3.040379e-08,3.022606e+00,9.428642e-01,3.965471e+00,9.758200e-06,1.413565e+02
86,4.350000e-02,9.428642e-01,3.071758e-08,3.094121e+00,9.428642e-01,4.036985e+00,9.790764e-06,1.430288e+02
87,4.400000e-02,9.428642e-01,3.104424e-08,3.166471e+00,9.428642e-01,4.109335e+00,9.823984e-06,1.447011e+02
88,4.450000e-02,9.428642e-01,3.138408e-08,3.239658e+00,9.428642e-01,4.182522e+00,9.857741e-06,1.463734e+02
89,4.500000e-02,9.428642e-01,3.173744e-08,3.313681e+00,9.428642e-01,4.256545e+00,9.892225e-06,1.480457e+02
90,4.550000e-02,9.428642e-01,3.210465e-08,3.388540e+00,9.428642e-01,4.331404e+00,9.927297e-06,1.497180e+02
91,4.600000e-02,9.428642e-01,3.248603e-08,3.464235e+00,9.428642e-01,4.407099e+00,9.963105e-06,1.513903e+02
92,4.650000e-02,9.428642e-01,3.288193e-08,3.540766e+00,9.428642e-01,4.483630e+00,9.999564e-06,1.530626e+02
