step,time,ramp_factor,h_a_left,h_a_center,h_a_right,h_a_center_x,h_a_center_y,h_a_min,h_a_max,center_edge_ratio,uniformity
71,3.550000e-02,2.218750e-02,2.858979e+00,2.860919e+00,2.858979e+00,-1.815888e-18,2.860919e+00,2.857889e+00,2.860919e+00,1.000679e+00,9.989408e-01
72,3.600000e-02,2.250000e-02,2.899246e+00,2.901214e+00,2.899246e+00,2.941049e-18,2.901214e+00,2.898141e+00,2.901214e+00,1.000679e+00,9.989408e-01
73,3.650000e-02,2.281250e-02,2.939514e+00,2.941508e+00,2.939514e+00,-6.179802e-18,2.941508e+00,2.938393e+00,2.941508e+00,1.000679e+00,9.989408e-01
74,3.700000e-02,2.312500e-02,2.979781e+00,2.981803e+00,2.979781e+00,-1.422865e-18,2.981803e+00,2.978645e+00,2.981803e+00,1.000679e+00,9.989408e-01
75,3.750000e-02,2.343750e-02,3.020048e+00,3.022097e+00,3.020048e+00,3.334072e-18,3.022097e+00,3.018897e+00,3.022097e+00,1.000679e+00,9.989408e-01
76,3.800000e-02,2.375000e-02,3.060315e+00,3.062392e+00,3.060315e+00,-5.786779e-18,3.062392e+00,3.059149e+00,3.062392e+00,1.000679e+00,9.989408e-01
77,3.850000e-02,2.406250e-02,3.100583e+00,3.102687e+00,3.100583e+00,-1.029842e-18,3.102687e+00,3.099400e+00,3.102687e+00,1.000679e+00,9.989408e-01
78,3.900000e-02,2.437500e-02,3.140850e+00,3.142981e+00,3.140850e+00,3.727095e-18,3.142981e+00,3.139652e+00,3.142981e+00,1.000679e+00,9.989408e-01
79,3.950000e-02,2.468750e-02,3.181117e+00,3.183276e+00,3.181117e+00,-1.927154e-17,3.183276e+00,3.179904e+00,3.183276e+00,1.000679e+00,9.989408e-01
80,4.000000e-02,2.500000e-02,3.221385e+00,3.223571e+00,3.221385e+00,-6.368184e-19,3.223571e+00,3.220156e+00,3.223571e+00,1.000679e+00,9.989408e-01
81,4.050000e-02,2.531250e-02,3.261652e+00,3.263865e+00,3.261652e+00,4.120119e-18,3.263865e+00,3.260408e+00,3.263865e+00,1.000679e+00,9.989408e-01
82,4.100000e-02,2.562500e-02,3.301919e+00,3.304160e+00,3.301919e+00,-5.000732e-18,3.304160e+00,3.300660e+00,3.304160e+00,1.000679e+00,9.989408e-01
83,4.150000e-02,2.593750e-02,3.342187e+00,3.344455e+00,3.342187e+00,-1.412158e-17,3.344455e+00,3.340912e+00,3.344455e+00,1.000679e+00,9.989408e-01
84,4.200000e-02,2.625000e-02,3.382454e+00,3.384749e+00,3.382454e+00,4.513142e-18,3.384749e+00,3.381164e+00,3.384749e+00,1.000679e+00,9.989408e-01
85,4.250000e-02,2.656250e-02,3.422721e+00,3.425044e+00,3.422721e+00,7.106242e-18,3.425044e+00,3.421416e+00,3.425044e+00,1.000679e+00,9.989408e-01
86,4.300000e-02,2.687500e-02,3.462989e+00,3.465338e+00,3.462989e+00,-2.014609e-18,3.465338e+00,3.461668e+00,3.465338e+00,1.000679e+00,9.989408e-01
87,4.350000e-02,2.718750e-02,3.503256e+00,3.505633e+00,3.503256e+00,-1.113546e-17,3.505633e+00,3.501920e+00,3.505633e+00,1.000679e+00,9.989408e-01
88,4.400000e-02,2.750000e-02,3.543523e+00,3.545928e+00,3.543523e+00,-6.378522e-18,3.545928e+00,3.542172e+00,3.545928e+00,1.000679e+00,9.989408e-01
89,4.450000e-02,2.781250e-02,3.583790e+00,3.586222e+00,3.583790e+00,1.225620e-17,3.586222e+00,3.582424e+00,3.586222e+00,1.000679e+00,9.989408e-01
90,4.500000e-02,2.812500e-02,3.624058e+00,3.626517e+00,3.624058e+00,3.135352e-18,3.626517e+00,3.622676e+00,3.626517e+00,1.000679e+00,9.989408e-01
91,4.550000e-02,2.843750e-02,3.664325e+00,3.666812e+00,3.664325e+00,-5.985499e-18,3.666812e+00,3.662928e+00,3.666812e+00,1.000679e+00,9.989408e-01
92,4.600000e-02,2.875000e-02,3.704592e+00,3.707106e+00,3.704592e+00,-1.228562e-18,3.707106e+00,3.703180e+00,3.707106e+00,1.000679e+00,9.989408e-01
93,4.650000e-02,2.906250e-02,3.744860e+00,3.747401e+00,3.744860e+00,1.740616e-17,3.747401e+00,3.743432e+00,3.747401e+00,1.000679e+00,9.989408e-01
94,4.700000e-02,2.937500e-02,3.785127e+00,3.787695e+00,3.785127e+00,-1.947026e-17,3.787695e+00,3.783684e+00,3.787695e+00,1.000679e+00,9.989408e-01
95,4.750000e-02,2.968750e-02,3.825394e+00,3.827990e+00,3.825394e+00,-8.355387e-19,3.827990e+00,3.823936e+00,3.827990e+00,1.000679e+00,9.989408e-01
