step,time,dt,theta_min,theta_max,mass,E_CH,dE_CH_dt,ch_iterations,ch_residual,ch_time,phi_min,phi_max,H_max,M_max,E_mag,mu_min,mu_max,poisson_iterations,poisson_residual,poisson_time,ux_min,ux_max,uy_min,uy_max,U_max,E_kin,divU_L2,divU_Linf,CFL,p_min,p_max,F_cap_max,F_mag_max,F_grav_max,ns_time,E_internal,E_total,dE_internal_dt,dE_total_dt,interface_y_min,interface_y_max,interface_y_mean
20,1.050000e-02,5.000000e-04,-1.000001e+00,1.000518e+00,-2.000000e-01,9.428126e-01,5.407748e-07,499,2.538694e-08,2.033833e+01,-5.374153e-02,3.752631e-03,2.772930e-01,1.386465e-01,1.121770e-02,1.000000e+00,1.500000e+00,1260,1.511480e-10,9.883616e+00,-1.383704e-02,2.211635e-03,-1.383704e-02,2.211635e-03,1.734348e-02,1.801919e-09,2.878310e-02,1.394966e+01,1.962190e-03,-4.549765e-02,7.283069e+02,3.427414e+02,8.516578e+00,3.300000e+04,0.000000e+00,9.428126e-01,9.540303e-01,5.838645e-07,2.175874e+00,1.999991e-01,2.000000e-01,1.999996e-01
21,1.100000e-02,5.000000e-04,-1.000001e+00,1.000525e+00,-2.000000e-01,9.428126e-01,5.560197e-07,499,2.538687e-08,2.035220e+01,-5.641427e-02,3.939506e-03,2.910822e-01,1.455411e-01,1.236112e-02,1.000000e+00,1.500000e+00,1258,1.578762e-10,9.963841e+00,-1.383688e-02,2.211529e-03,-1.383688e-02,2.211529e-03,1.734331e-02,1.820550e-09,2.878269e-02,1.394948e+01,1.962171e-03,-4.576783e-02,7.282960e+02,3.427588e+02,9.385983e+00,3.300000e+04,0.000000e+00,9.428126e-01,9.551737e-01,5.932810e-07,2.286835e+00,1.999991e-01,2.000000e-01,1.999996e-01
22,1.150000e-02,5.000000e-04,-1.000001e+00,1.000531e+00,-2.000000e-01,9.428126e-01,5.486938e-07,499,2.538715e-08,1.992535e+01,-5.908701e-02,4.126381e-03,3.048715e-01,1.524357e-01,1.356001e-02,1.000000e+00,1.500000e+00,1256,1.656721e-10,9.090784e+00,-1.383673e-02,2.211553e-03,-1.383673e-02,2.211553e-03,1.734310e-02,1.835339e-09,2.878244e-02,1.394934e+01,1.962148e-03,-4.611198e-02,7.282895e+02,3.427827e+02,1.029779e+01,3.300000e+04,0.000000e+00,9.428126e-01,9.563726e-01,5.782712e-07,2.397797e+00,1.999990e-01,2.000000e-01,1.999996e-01
23,1.200000e-02,5.000000e-04,-1.000000e+00,1.000538e+00,-2.000000e-01,9.428126e-01,5.686669e-07,499,2.538707e-08,1.957531e+01,-6.175975e-02,4.313256e-03,3.186608e-01,1.593304e-01,1.481439e-02,1.000000e+00,1.500000e+00,1254,1.753530e-10,9.632411e+00,-1.383658e-02,2.211386e-03,-1.383658e-02,2.211386e-03,1.734298e-02,1.846689e-09,2.878201e-02,1.394916e+01,1.962134e-03,-4.626974e-02,7.282775e+02,3.427942e+02,1.125185e+01,3.300000e+04,0.000000e+00,9.428126e-01,9.576270e-01,5.913678e-07,2.508758e+00,1.999990e-01,2.000000e-01,1.999996e-01
24,1.250000e-02,5.000000e-04,-1.000000e+00,1.000544e+00,-2.000000e-01,9.428126e-01,5.665475e-07,499,2.538723e-08,1.985930e+01,-6.443250e-02,4.500131e-03,3.324500e-01,1.662250e-01,1.612425e-02,1.000000e+00,1.500000e+00,1254,1.753528e-10,9.152660e+00,-1.383646e-02,2.211278e-03,-1.383646e-02,2.211279e-03,1.734288e-02,1.851417e-09,2.878169e-02,1.394902e+01,1.962123e-03,-4.649040e-02,7.282685e+02,3.428110e+02,1.224829e+01,3.300000e+04,0.000000e+00,9.428126e-01,9.589368e-01,5.760028e-07,2.619720e+00,1.999990e-01,2.000000e-01,1.999995e-01
25,1.300000e-02,5.000000e-04,-1.000000e+00,1.000550e+00,-2.000000e-01,9.428126e-01,5.636422e-07,499,2.538757e-08,2.035540e+01,-6.710524e-02,4.687006e-03,3.462393e-01,1.731196e-01,1.748959e-02,1.000000e+00,1.500000e+00,1253,1.881294e-10,1.008505e+01,-1.383633e-02,2.211316e-03,-1.383633e-02,2.211316e-03,1.734270e-02,1.855079e-09,2.878149e-02,1.394890e+01,1.962103e-03,-4.696609e-02,7.282631e+02,3.428302e+02,1.328712e+01,3.300000e+04,0.000000e+00,9.428126e-01,9.603022e-01,5.709664e-07,2.730681e+00,1.999989e-01,2.000000e-01,1.999995e-01
26,1.350000e-02,5.000000e-04,-1.000000e+00,1.000555e+00,-2.000000e-01,9.428126e-01,5.687504e-07,499,2.538776e-08,1.967180e+01,-6.977798e-02,4.873881e-03,3.600286e-01,1.800143e-01,1.891041e-02,1.000000e+00,1.500000e+00,1250,1.942699e-10,1.087026e+01,-1.383620e-02,2.211290e-03,-1.383620e-02,2.211290e-03,1.734254e-02,1.859336e-09,2.878123e-02,1.394877e+01,1.962084e-03,-4.740540e-02,7.282561e+02,3.428449e+02,1.436832e+01,3.300000e+04,0.000000e+00,9.428126e-01,9.617230e-01,5.772649e-07,2.841643e+00,1.999989e-01,2.000000e-01,1.999995e-01
27,1.400000e-02,5.000000e-04,-1.000000e+00,1.000561e+00,-2.000000e-01,9.428126e-01,5.600764e-07,499,2.538824e-08,2.037274e+01,-7.245072e-02,5.060756e-03,3.738178e-01,1.869089e-01,2.038672e-02,1.000000e+00,1.500000e+00,1249,2.029988e-10,1.010482e+01,-1.383608e-02,2.211318e-03,-1.383608e-02,2.211318e-03,1.734236e-02,1.865575e-09,2.878104e-02,1.394865e+01,1.962064e-03,-4.791748e-02,7.282508e+02,3.428623e+02,1.549203e+01,3.300000e+04,0.000000e+00,9.428126e-01,9.631993e-01,5.725531e-07,2.952604e+00,1.999988e-01,2.000000e-01,1.999995e-01
28,1.450000e-02,5.000000e-04,-1.000000e+00,1.000566e+00,-2.000000e-01,9.428126e-01,5.617966e-07,499,2.538859e-08,2.209134e+01,-7.512346e-02,5.247631e-03,3.876071e-01,1.938035e-01,2.191850e-02,1.000000e+00,1.500000e+00,1249,2.029984e-10,9.571877e+00,-1.383595e-02,2.211330e-03,-1.383595e-02,2.211330e-03,1.734218e-02,1.874638e-09,2.878085e-02,1.394853e+01,1.962044e-03,-4.844592e-02,7.282453e+02,3.428762e+02,1.665818e+01,3.300000e+04,0.000000e+00,9.428126e-01,9.647311e-01,5.799246e-07,3.063566e+00,1.999988e-01,2.000000e-01,1.999995e-01
29,1.500000e-02,5.000000e-04,-1.000000e+00,1.000571e+00,-2.000000e-01,9.428126e-01,5.771446e-07,499,2.538868e-08,2.012313e+01,-7.779620e-02,5.434507e-03,4.013964e-01,2.006982e-01,2.350576e-02,1.000000e+00,1.500000e+00,1248,2.150499e-10,1.018064e+01,-1.383583e-02,2.211276e-03,-1.383583e-02,2.211277e-03,1.734205e-02,1.885162e-09,2.878061e-02,1.394840e+01,1.962029e-03,-4.895494e-02,7.282382e+02,3.428828e+02,1.786665e+01,3.300000e+04,0.000000e+00,9.428126e-01,9.663183e-01,5.981908e-07,3.174527e+00,1.999988e-01,2.000000e-01,1.999995e-01
