step,time,dt,theta_min,theta_max,mass,E_CH,dE_CH_dt,ch_iterations,ch_residual,ch_time,phi_min,phi_max,H_max,M_max,E_mag,mu_min,mu_max,poisson_iterations,poisson_residual,poisson_time,ux_min,ux_max,uy_min,uy_max,U_max,E_kin,divU_L2,divU_Linf,CFL,p_min,p_max,F_cap_max,F_mag_max,F_grav_max,ns_time,E_total,dE_total_dt,interface_y_min,interface_y_max,interface_y_mean
21,2.200000e-02,1.000000e-03,-1.000006e+00,1.077225e+00,-2.000000e-01,9.430309e-01,8.347903e-03,0,0.000000e+00,1.336897e+00,-8.908856e-01,2.088841e-02,1.746711e+00,5.886979e-01,7.404075e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,8.370573e-01,-8.446408e-01,1.343200e-01,-8.446408e-01,1.343199e-01,1.058162e+00,2.385440e-05,1.755768e+00,4.259332e+02,1.197173e-01,-1.223397e+00,2.248390e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.456714e+00,1.683462e+00,6.884515e+01,0.000000e+00,0.000000e+00,0.000000e+00
22,2.300000e-02,1.000000e-03,-1.000007e+00,1.078072e+00,-2.000000e-01,9.430392e-01,8.364735e-03,0,0.000000e+00,1.329438e+00,-9.333105e-01,2.188255e-02,1.830156e+00,6.167981e-01,8.126023e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,8.353752e-01,-8.445752e-01,1.343087e-01,-8.445752e-01,1.343086e-01,1.058079e+00,2.385620e-05,1.755630e+00,4.259004e+02,1.197079e-01,-1.225719e+00,2.248240e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.396772e+00,1.755665e+00,7.220319e+01,0.000000e+00,0.000000e+00,0.000000e+00
23,2.400000e-02,1.000000e-03,-1.000008e+00,1.078883e+00,-2.000000e-01,9.430476e-01,8.380780e-03,0,0.000000e+00,1.327712e+00,-9.757356e-01,2.287663e-02,1.913625e+00,6.449063e-01,8.881552e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,8.314159e-01,-8.445124e-01,1.342978e-01,-8.445124e-01,1.342978e-01,1.057999e+00,2.385854e-05,1.755499e+00,4.258690e+02,1.196990e-01,-1.227929e+00,2.248096e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.523160e+00,1.831227e+00,7.556124e+01,0.000000e+00,0.000000e+00,0.000000e+00
24,2.500000e-02,1.000000e-03,-1.000010e+00,1.079660e+00,-2.000000e-01,9.430560e-01,8.396106e-03,0,0.000000e+00,1.381351e+00,-1.018161e+00,2.387065e-02,1.997118e+00,6.730226e-01,9.670661e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,8.362395e-01,-8.444521e-01,1.342875e-01,-8.444521e-01,1.342874e-01,1.057923e+00,2.386143e-05,1.755372e+00,4.258388e+02,1.196903e-01,-1.230002e+00,2.247958e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.433968e+00,1.910146e+00,7.891930e+01,0.000000e+00,0.000000e+00,0.000000e+00
25,2.600000e-02,1.000000e-03,-1.000011e+00,1.080405e+00,-2.000000e-01,9.430644e-01,8.410772e-03,0,0.000000e+00,1.320827e+00,-1.060586e+00,2.486461e-02,2.080635e+00,7.011474e-01,1.049335e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,8.296226e-01,-8.443941e-01,1.342775e-01,-8.443941e-01,1.342774e-01,1.057849e+00,2.386488e-05,1.755250e+00,4.258098e+02,1.196820e-01,-1.231931e+00,2.247825e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.481158e+00,1.992423e+00,8.227738e+01,0.000000e+00,0.000000e+00,0.000000e+00
26,2.700000e-02,1.000000e-03,-1.000012e+00,1.081122e+00,-2.000000e-01,9.430728e-01,8.424829e-03,0,0.000000e+00,1.318259e+00,-1.103012e+00,2.585851e-02,2.164174e+00,7.292811e-01,1.134962e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,8.286718e-01,-8.443382e-01,1.342679e-01,-8.443382e-01,1.342678e-01,1.057779e+00,2.386893e-05,1.755133e+00,4.257819e+02,1.196740e-01,-1.233723e+00,2.247696e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.426430e+00,2.078059e+00,8.563547e+01,0.000000e+00,0.000000e+00,0.000000e+00
27,2.800000e-02,1.000000e-03,-1.000013e+00,1.081813e+00,-2.000000e-01,9.430813e-01,8.438322e-03,0,0.000000e+00,1.328816e+00,-1.145438e+00,2.685234e-02,2.247737e+00,7.574239e-01,1.223947e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,8.292284e-01,-8.442843e-01,1.342586e-01,-8.442843e-01,1.342585e-01,1.057711e+00,2.387362e-05,1.755020e+00,4.257549e+02,1.196663e-01,-1.235396e+00,2.247573e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.408368e+00,2.167052e+00,8.899357e+01,0.000000e+00,0.000000e+00,0.000000e+00
28,2.900000e-02,1.000000e-03,-1.000014e+00,1.082479e+00,-2.000000e-01,9.430897e-01,8.451291e-03,0,0.000000e+00,1.363925e+00,-1.187864e+00,2.784611e-02,2.331323e+00,7.855761e-01,1.316290e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,8.222360e-01,-8.442323e-01,1.342496e-01,-8.442323e-01,1.342495e-01,1.057645e+00,2.387898e-05,1.754911e+00,4.257288e+02,1.196588e-01,-1.236969e+00,2.247453e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.432795e+00,2.259404e+00,9.235169e+01,0.000000e+00,0.000000e+00,0.000000e+00
29,3.000000e-02,1.000000e-03,-1.000015e+00,1.083122e+00,-2.000000e-01,9.430982e-01,8.463772e-03,0,0.000000e+00,1.362031e+00,-1.230290e+00,2.883982e-02,2.414931e+00,8.137380e-01,1.411992e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,8.259980e-01,-8.441819e-01,1.342409e-01,-8.441819e-01,1.342409e-01,1.057581e+00,2.388507e-05,1.754805e+00,4.257036e+02,1.196516e-01,-1.238455e+00,2.247337e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.417088e+00,2.355114e+00,9.570982e+01,0.000000e+00,0.000000e+00,0.000000e+00
30,3.100000e-02,1.000000e-03,-1.000016e+00,1.083743e+00,-2.000000e-01,9.431067e-01,8.475797e-03,0,0.000000e+00,1.390579e+00,-1.272717e+00,2.983345e-02,2.498561e+00,8.419101e-01,1.511051e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,8.262002e-01,-8.441331e-01,1.342326e-01,-8.441331e-01,1.342325e-01,1.057519e+00,2.389190e-05,1.754703e+00,4.256792e+02,1.196446e-01,-1.239868e+00,2.247225e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.428569e+00,2.454182e+00,9.906798e+01,0.000000e+00,0.000000e+00,0.000000e+00
31,3.200000e-02,1.000000e-03,-1.000018e+00,1.084345e+00,-2.000000e-01,9.431151e-01,8.487395e-03,0,0.000000e+00,1.351001e+00,-1.315144e+00,3.082701e-02,2.582213e+00,8.700926e-01,1.613469e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,8.258101e-01,-8.440858e-01,1.342244e-01,-8.440858e-01,1.342243e-01,1.057459e+00,2.389954e-05,1.754603e+00,4.256556e+02,1.196379e-01,-1.241215e+00,2.247116e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.434980e+00,2.556608e+00,1.024261e+02,0.000000e+00,0.000000e+00,0.000000e+00
32,3.300000e-02,1.000000e-03,-1.000019e+00,1.084927e+00,-2.000000e-01,9.431236e-01,8.498591e-03,0,0.000000e+00,1.350661e+00,-1.357571e+00,3.182051e-02,2.665886e+00,8.982858e-01,1.719245e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,8.617559e-01,-8.440399e-01,1.342165e-01,-8.440399e-01,1.342164e-01,1.057401e+00,2.390800e-05,1.754507e+00,4.256326e+02,1.196313e-01,-1.242502e+00,2.247010e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.459853e+00,2.662392e+00,1.057843e+02,0.000000e+00,0.000000e+00,0.000000e+00
33,3.400000e-02,1.000000e-03,-1.000020e+00,1.085492e+00,-2.000000e-01,9.431322e-01,8.509411e-03,0,0.000000e+00,1.319450e+00,-1.399998e+00,3.281393e-02,2.749579e+00,9.264902e-01,1.828379e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,8.241487e-01,-8.439952e-01,1.342088e-01,-8.439953e-01,1.342087e-01,1.057345e+00,2.391735e-05,1.754413e+00,4.256103e+02,1.196249e-01,-1.243733e+00,2.246907e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.420247e+00,2.771535e+00,1.091425e+02,0.000000e+00,0.000000e+00,0.000000e+00
